date,action,valid_fraction,csc_max,alert_pixels,gsd_m,tile_density_mb_per_km2,posterior_mean_max,posterior_tail_max,note
2024-06-09,BASELINE,0.852,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-06-25,BASELINE,0.852,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-07-11,BASELINE,0.852,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-07-27,FUSE,0.852,0.865,0,10.0,1.80,0.667,0.750,real-scene replay with NDWI
2024-08-12,FUSE,0.852,0.817,0,10.0,1.80,0.750,0.875,real-scene replay with NDWI
2024-08-28,FUSE,0.852,0.681,0,10.0,1.80,0.800,0.938,real-scene replay with NDWI
2024-09-13,FUSE,0.852,0.560,0,10.0,1.80,0.833,0.969,real-scene replay with NDWI
2024-09-29,FUSE,0.852,0.754,0,10.0,1.80,0.857,0.984,real-scene replay with NDWI
2024-10-15,FUSE,0.845,0.754,0,10.0,1.80,0.875,0.992,real-scene replay with NDWI
2024-10-31,FUSE,0.638,0.477,0,10.0,1.80,0.875,0.992,real-scene replay with NDWI
